Title,Rating,Votes,Duration,Genre
379. Toxic Daughter,5.3, (46),1h 45m,Horror
380. The Ritual,4.0, (11),1h 40m,Horror
381. Oro Negro,,,,Horror
382. The Girl Who Cried Her Eyes Out,3.9, (725),1h 34m,Horror
383. Pater Noster and the Mission of Light,7.3, (136),Not Rated,Horror
384. Wake,3.4, (264),1h 25m,Horror
385. Dead Teenagers,3.2, (134),1h 20m,Horror
386. Salem Witch Doll,2.4, (133),1h 16m,Horror
387. Salt Along the Tongue,8.4, (8),1h 53m,Horror
388. I'll Play Mother,5.2, (92),1h 48m,Horror
389. The Killers,6.1, (76),1h 59m,Horror
390. The Sin,5.3, (345),1h 43m,Horror
391. Alyad Palyad,6.8, (1.2K),2h 9m,Horror
392. Go Away,4.3, (207),,Horror
393. Demo_n,5.3, (30),1h 10m,Horror
394. The American Backyard,6.2, (163),1h 47m,Horror
395. Ghost Killer,7.0, (79),1h 45m,Horror
396. Vina: Before 7 Days,5.4, (597),1h 40m,Horror
397. Holnap meghalok,4.5, (102),1h 25m,Horror
398. Thine Ears Shall Bleed,6.3, (1.1K),1h 42m,Horror
399. The Carters,5.2, (24),1h 15m,Horror
400. Kromoleo,3.9, (253),1h 20m,Horror
401. History of Evil,3.4, (823),1h 38m,Horror
402. Death Streamer,3.0, (227),1h 12m,Horror
403. The Family Business,8.5, (29),1h 29m,Horror
404. Bogieville,5.5, (325),1h 48m,Horror
405. The Naughty List of Mr. Scrooge,4.5, (202),1h 30m,Horror
406. What Happened to Suzy,6.3, (74),1h 34m,Horror
407. Kalinga,6.0, (7.6K),1h 56m,Horror
408. Deadbolt,4.6, (327),1h 23m,Horror
409. Dinner with Leatherface,7.5, (31),1h 46m,Horror
410. Till Death Do Us Part,6.3, (275),1h 48m,Horror
411. Bhavanam: The Haunted House,7.6, (14),2h 19m,Horror
412. They Turned Us Into Killers,2.7, (258),1h 26m,Horror
413. What Happened to Dorothy Bell?,7.4, (7),,Horror
414. Scared Shitless,6.1, (222),1h 16m,Horror
415. Name the Demon,3.5, (166),1h 17m,Horror
416. Staycation,7.0, (109),1h 34m,Horror
417. STEVE (A Minecraft Movie),6.9, (12),1h 1m,Horror
418. Invited,5.2, (215),1h 11m,Horror
419. Alpacalypse,6.0, (32),1h 17m,Horror
420. Spirit Whisker: The Revenant,5.5, (45),1h 49m,Horror
421. Killjoy: Terrify,3.3, (19),,Horror
422. Mountain Shark,5.0, (102),1h 21m,Horror
423. Family,6.9, (34),1h 35m,Horror
424. The Bitter Taste,6.0, (11),2h 5m,Horror
425. Lost Angels,6.9, (27),1h 36m,Horror
426. The Cursed Land,5.5, (296),2h 8m,Horror
427. Visher,4.3, (376),1h 5m,Horror
428. The Last Nightmare Part One,6.0, (76),50m,Horror
429. The Monster Beneath Us,5.7, (430),1h 43m,Horror
430. Hellhounds,3.4, (174),1h 21m,Horror
431. The Epidemic,5.7, (72),1h 35m,Horror
432. Guardian,4.0, (667),2h,Horror
433. House on Haunted Hill,2.7, (38),,Horror
434. 4:44 : Time of Fear,5.5, (19),44m,Horror
435. The Best of Me,,,1h 29m,Horror
436. Séance Games: Metaxu,3.3, (194),1h 26m,Horror
437. Campton Manor,3.4, (231),1h 23m,Horror
438. The Blackwell Ghost 8,6.2, (392),1h 9m,Horror
439. Ghost Island,7.3, (49),1h 35m,Horror
440. Oculus,6.0, (15),1h 53m,Horror
441. Inverted,4.2, (51),1h 28m,Horror
442. Night Silence,5.6, (271),1h 52m,Horror
443. The Cursed,4.9, (115),1h 37m,Horror
444. The Buildout,4.2, (84),1h 10m,Horror
445. This Never Happened,4.8, (382),1h 30m,Horror
446. 9 Windows,3.7, (316),1h 22m,Horror
447. Five Friends,6.7, (928),1h 52m,Horror
448. Slashercise,5.5, (13),58m,Horror
449. The New Purge,,,,Horror
450. Bad Fish,3.4, (318),1h 24m,Horror
451. Guess Who,4.8, (370),1h 33m,Horror
452. Carnage for Christmas,4.5, (344),1h 9m,Horror
453. Biaz: Kara Iyenin Laneti,5.4, (229),1h 29m,Horror
454. Dead Whisper,3.9, (553),1h 28m,Horror
455. Run!,3.5, (102),1h 26m,Horror
456. Betting with Ghost,6.6, (82),1h 52m,Horror
457. The Deserving,8.1, (68),,Horror
458. Pee Nak 4,4.8, (404),1h 55m,Horror
